code,track_id,resource_key,layer,loop,master_file,asset_status,start_seconds,playback_duration_seconds,default_volume,angle_rad,radius,asset_duration_seconds,requires_engine_crossfade,crossfade_ms,license_status,measured_lufs,true_peak_dbtp,measurement_tool,measurement_date,usage
V06,55d99728-e2be-566b-953c-f4c730cbfe76,voice_phrase_06,voice,false,dw_ref_vox_hair_wash_phrase_06_oneshot_sc_hair_center_v02_t01.wav,ref,149.0,4.4,0.68,0.0,0.38,4.4,false,0,pending,-41.78,-20.93,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 06；0dB 增益、无降噪/压缩/补静音
V07,4bc90a4e-58fa-5411-980e-b8f3136c8bd2,voice_phrase_07,voice,false,dw_ref_vox_hair_wash_phrase_07_oneshot_sc_hair_center_v02_t01.wav,ref,178.0,4.15,0.68,0.0,0.38,4.15,false,0,pending,-39.04,-17.95,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 07；0dB 增益、无降噪/压缩/补静音
V08,5df8d8ba-872e-502e-af1b-3f863201a3fb,voice_phrase_08,voice,false,dw_ref_vox_hair_wash_phrase_08_oneshot_sc_hair_center_v02_t01.wav,ref,210.0,3.05,0.68,0.0,0.38,3.05,false,0,pending,-47.99,-27.72,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 08；0dB 增益、无降噪/压缩/补静音
V09,054a8001-c09c-5755-9f50-ceafbac7f804,voice_phrase_09,voice,false,dw_ref_vox_hair_wash_phrase_09_oneshot_sc_hair_center_v02_t01.wav,ref,240.0,4.05,0.68,0.0,0.38,4.05,false,0,pending,-45.13,-24.7,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 09；0dB 增益、无降噪/压缩/补静音
V10,332a3801-dcf4-514e-b674-79aebfba04bf,voice_phrase_10,voice,false,dw_ref_vox_hair_wash_phrase_10_oneshot_sc_hair_center_v02_t01.wav,ref,270.0,3.7,0.68,0.0,0.38,3.7,false,0,pending,-35.31,-15.16,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 10；0dB 增益、无降噪/压缩/补静音
V11,80c62f91-e85f-5cbf-a989-8b369343ce15,voice_phrase_11,voice,false,dw_ref_vox_hair_wash_phrase_11_oneshot_sc_hair_center_v02_t01.wav,ref,300.0,3.95,0.68,0.0,0.38,3.95,false,0,pending,-41.16,-21.1,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 11；0dB 增益、无降噪/压缩/补静音
V12,fc53f107-af9e-54b6-9395-717977ad83cf,voice_phrase_12,voice,false,dw_ref_vox_hair_wash_phrase_12_oneshot_sc_hair_center_v02_t01.wav,ref,360.0,3.65,0.68,0.0,0.38,3.65,false,0,pending,-42.66,-26.1,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 12；0dB 增益、无降噪/压缩/补静音
V13,a8e97b85-2687-5fa8-8c8a-e56b2f4e778e,voice_phrase_13,voice,false,dw_ref_vox_hair_wash_phrase_13_oneshot_sc_hair_center_v02_t01.wav,ref,390.0,3.98,0.68,0.0,0.38,3.98,false,0,pending,-38.61,-19.13,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 13；0dB 增益、无降噪/压缩/补静音
V14,74461357-965f-5fd7-80ef-f19bdff00356,voice_phrase_14,voice,false,dw_ref_vox_hair_wash_phrase_14_oneshot_sc_hair_center_v02_t01.wav,ref,420.0,3.87,0.68,0.0,0.38,3.87,false,0,pending,-39.5,-20.61,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 14；0dB 增益、无降噪/压缩/补静音
V15,551764d7-f818-5a93-92a3-ec26ecd1a2a3,voice_phrase_15,voice,false,dw_ref_vox_hair_wash_phrase_15_oneshot_sc_hair_center_v02_t01.wav,ref,449.0,3.88,0.68,0.0,0.38,3.88,false,0,pending,-42.27,-18.91,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 15；0dB 增益、无降噪/压缩/补静音
V16,b3410b17-bf95-5d08-b182-372ba291ca1a,voice_phrase_16,voice,false,dw_ref_vox_hair_wash_phrase_16_oneshot_sc_hair_center_v02_t01.wav,ref,480.0,4.15,0.68,0.0,0.38,4.15,false,0,pending,-40.27,-20.64,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 16；0dB 增益、无降噪/压缩/补静音
V17,189714af-c37b-5953-86f0-5ae5545f85ee,voice_phrase_17,voice,false,dw_ref_vox_hair_wash_phrase_17_oneshot_sc_hair_center_v02_t01.wav,ref,511.0,3.7,0.68,0.0,0.38,3.7,false,0,pending,-40.39,-23.7,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 17；0dB 增益、无降噪/压缩/补静音
V18,9a785455-0b6e-52b9-8c94-3966e97f13ef,voice_phrase_18,voice,false,dw_ref_vox_hair_wash_phrase_18_oneshot_sc_hair_center_v02_t01.wav,ref,544.0,2.32,0.68,0.0,0.38,2.32,false,0,pending,-43.93,-27.07,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 18；0dB 增益、无降噪/压缩/补静音
V19,61a9747a-eb6e-5eb3-9d0b-ca2b05c0585c,voice_phrase_19,voice,false,dw_ref_vox_hair_wash_phrase_19_oneshot_sc_hair_center_v02_t01.wav,ref,574.0,3.3,0.68,0.0,0.38,3.3,false,0,pending,-43.31,-20.52,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 19；0dB 增益、无降噪/压缩/补静音
V20,8ca2e247-1cd2-5ef0-bc60-767676957141,voice_phrase_20,voice,false,dw_ref_vox_hair_wash_phrase_20_oneshot_sc_hair_center_v02_t01.wav,ref,604.0,7.55,0.68,0.0,0.38,7.55,false,0,pending,-33.52,-15.0,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 20；0dB 增益、无降噪/压缩/补静音
